Date,Cases
2020-03-01,1
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,4
2020-03-06,7
2020-03-07,12
2020-03-08,14
2020-03-09,25
2020-03-10,32
2020-03-11,53
2020-03-12,88
2020-03-13,137
2020-03-14,185
2020-03-15,269
2020-03-16,464
2020-03-17,923
2020-03-18,2009
2020-03-19,3954
2020-03-20,5683
2020-03-21,8115
2020-03-22,10764
2020-03-23,13119
2020-03-24,15597
2020-03-25,20011
2020-03-26,23112
2020-03-27,26697
2020-03-28,30765
2020-03-29,33474
2020-03-30,38087
2020-03-31,41771
2020-04-01,45707
2020-04-02,48462
2020-04-03,56289
2020-04-04,60850
2020-04-05,64955
2020-04-06,68776
2020-04-07,74601
2020-04-08,80204
2020-04-09,87725
2020-04-10,94409
2020-04-11,98715
2020-04-12,104410
2020-04-13,107263
2020-04-14,111424
2020-04-15,117565
2020-04-16,122148
2020-04-17,126368
2020-04-18,129788
2020-04-19,132467
2020-04-20,134874
2020-04-21,138435
2020-04-22,141754
2020-04-23,146139
2020-04-24,150576
2020-04-25,153204
2020-04-26,156100
2020-04-27,157713
2020-04-28,159865
2020-04-29,162212
2020-04-30,164505
2020-05-01,166883
2020-05-02,168845
2020-05-03,170534
2020-05-04,171723
2020-05-05,173288
2020-05-06,174709
2020-05-07,176806
2020-05-08,177481
2020-05-09,178766
2020-05-10,183662
2020-05-11,184319
2020-05-12,185206
2020-05-13,186293
2020-05-14,187848
2020-05-15,189031
2020-05-16,190408
